ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
42393,1.302,0.988,NA,French 2,3,0,0,1
42398,1.246,1.014,0.315,French 2,3,0,1,2
42408,1.438,0.862,NA,French 2,3,0,1,0
42428,1.433,0.847,NA,French 2,3,0,1,0
45153,0.803,1.615,NA,Eng. Premier,1,0,1,2
45308,1.334,1.216,0.297,Eng. Chship,2,0,2,2
45313,1.305,1.095,0.296,Eng. Chship,2,0,3,1
45318,1.447,1.603,0.287,Eng. Chship,2,0,2,0
45323,1.607,0.913,0.272,Eng. Chship,2,0,1,1
45328,1.882,1.008,0.241,Eng. Chship,2,0,1,2
45333,1.586,1.054,0.286,Eng. Chship,2,0,2,1
45338,1.404,1.126,0.297,Eng. Chship,2,0,3,0
45343,1.491,1.359,0.301,Eng. Premier,1,0,2,1
45448,1.327,1.423,NA,Scot Premier,3,0,0,1
45463,1.444,1.196,NA,Scot Premier,3,0,4,1
45478,1.318,1.002,0.298,Eng. Premier,1,0,0,2
45483,2.43,0.469,NA,Eng. Premier,1,0,1,1
45488,1.98,0.729,NA,Eng. Premier,1,0,1,0
45493,1.811,0.918,NA,Eng. Premier,1,0,1,0
45543,1.204,1.456,NA,Australia,4,0,0,2
45548,1.43,1.13,NA,Australia,4,0,2,1
45553,1.306,1.944,NA,E Club Frien,5,0,3,1
45648,0.995,1.704,NA,Cyprus 1st D,5,0,1,0
45658,1.591,0.969,NA,Cyprus 1st D,5,0,0,1
45668,2.054,0.795,NA,Cyprus 1st D,5,0,2,2
45683,1.319,1.501,0.279,Eng. FA Cup,2,0,1,1
45688,1.228,1.272,0.302,Eng. FA Cup,2,0,1,2
45693,1.529,0.861,0.271,Eng. FA Cup,2,0,0,1
45698,1.914,0.945,0.219,Eng. FA Cup,2,0,1,4
45703,1.336,1.324,0.303,Eng. FA Cup,2,0,2,1
45708,1.009,1.57,0.274,Eng. FA Cup,2,0,0,2
45713,2.205,0.554,0.182,Eng. FA Cup,2,0,2,1
45723,1.662,0.968,0.267,Eng. FA Cup,2,0,2,0
45728,1.516,1.014,0.284,Eng. FA Cup,2,0,2,2
45738,1.727,0.983,0.259,Eng. FA Cup,2,0,1,1
45743,1.405,1.045,0.29,Eng. FA Cup,2,0,0,3
45748,1.53,1.08,0.278,Eng. FA Cup,2,0,2,0
45753,1.547,1.043,0.278,Eng. FA Cup,2,0,1,0
45758,1.523,0.987,0.274,Eng. FA Cup,2,0,3,2
45813,2.717,0.503,0.144,Eng. FA Cup,2,0,1,1
